Departure,Arrival,Vessel Name,Service Land Name,POL,POD
2025-01-06,2025-03-07,INCEDA 009S,NVS,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-06,2025-03-11,INCEDA 009S,NVS,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-07,2025-02-05,YM MODESTY 072E,PS3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-07,2025-02-06,YM MODESTY 072E,PS3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-07,2025-02-08,YM MODESTY 072E,PS3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-07,2025-02-25,YM MODESTY 072E,PS3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-07,2025-02-24,YM MODESTY 072E,PS3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-07,2025-02-27,YM MODESTY 072E,PS3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-07,2025-02-28,YM MODESTY 072E,PS3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-07,2025-03-04,YM MODESTY 072E,PS3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-10,2025-02-25,CMA CGM VISBY 5IU8AW1NC,NVS,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-10,2025-03-07,CMA CGM VISBY 5IU8AW1NC,NVS,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-10,2025-03-11,CMA CGM VISBY 5IU8AW1NC,NVS,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-10,2025-03-07,HAIAN DELL 006S,VSX,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-10,2025-03-11,HAIAN DELL 006S,VSX,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-10,2025-03-16,HAIAN DELL 006S,VSX,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-10,2025-03-22,HAIAN DELL 006S,VSX,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-13,2025-02-14,HMM AQUAMARINE 005E,PN3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-13,2025-02-14,HMM AQUAMARINE 005E,PN3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-13,2025-02-16,HMM AQUAMARINE 005E,PN3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-13,2025-02-25,HMM AQUAMARINE 005E,PN3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-13,2025-02-26,HMM AQUAMARINE 005E,PN3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-13,2025-02-26,HMM AQUAMARINE 005E,PN3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-13,2025-03-04,HMM AQUAMARINE 005E,PN3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-13,2025-03-25,HMM AQUAMARINE 005E,PN3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-13,2025-03-07,SINAR SANUR 090S,NVS,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-13,2025-03-11,SINAR SANUR 090S,NVS,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-13,2025-03-16,SINAR SANUR 090S,NVS,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-17,2025-03-07,INCEDA 010S,NVS,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-17,2025-03-11,INCEDA 010S,NVS,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-17,2025-03-16,INCEDA 010S,NVS,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-17,2025-03-07,HAIAN ROSE 046S,VSX,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-17,2025-03-11,HAIAN ROSE 046S,VSX,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-17,2025-03-16,HAIAN ROSE 046S,VSX,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-17,2025-03-22,HAIAN ROSE 046S,VSX,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-18,2025-02-14,SEASPAN ADONIS 077E,PS3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-18,2025-02-20,SEASPAN ADONIS 077E,PS3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-18,2025-02-21,SEASPAN ADONIS 077E,PS3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-18,2025-02-25,SEASPAN ADONIS 077E,PS3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-18,2025-03-08,SEASPAN ADONIS 077E,PS3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-18,2025-03-17,SEASPAN ADONIS 077E,PS3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-18,2025-03-20,SEASPAN ADONIS 077E,PS3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-18,2025-03-25,SEASPAN ADONIS 077E,PS3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-20,2025-03-07,CMA CGM VISBY 5IU8KS1NC,NVS,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-20,2025-03-11,CMA CGM VISBY 5IU8KS1NC,NVS,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-20,2025-03-16,CMA CGM VISBY 5IU8KS1NC,NVS,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
